,Olfactory tubercle,Pons,Nucleus accumbens,Pons motor related,Subthalamic nucleus,Dorsal auditory area,Primary somatosensory area mouth,Perirhinal area,Lateral preoptic area,Central medial nucleus of the thalamus,Entorhinal area medial part,Medial septal nucleus,Ectorhinal area,Lateral hypothalamic area,Basolateral amygdalar nucleus,Anteroventral preoptic nucleus,Central amygdalar nucleus,Agranular insular area,Diagonal band nucleus,Supplemental somatosensory area,Piriform area,Ventral auditory area,Orbital area lateral part,Intercalated amygdalar nucleus,Primary auditory area,Substantia innominata,Lateral septal complex,Posterior hypothalamic nucleus,Anterior hypothalamic nucleus,Bed nuclei of the stria terminalis,Orbital area ventrolateral part,Gustatory areas,Taenia tecta,Zona incerta,Subiculum,Dorsal peduncular area,Primary visual area,Visceral area,Midbrain reticular nucleus,Infralimbic area,Temporal association areas,posteromedial visual area,Medial geniculate complex,Ventral tegmental area,Tuberal nucleus,Parasubthalamic nucleus,Retrochiasmatic area,Suprachiasmatic nucleus,Anteroventral periventricular nucleus,Culmen,Endopiriform nucleus,Entorhinal area lateral part,Lateral visual area,Anterolateral visual area,Caudoputamen,Pedunculopontine nucleus,Agranular insular area ventral part,Periaqueductal gray,Dorsal part of the lateral geniculate complex,Retrosplenial area dorsal part,Frontal pole cerebral cortex,Primary somatosensory area upper limb,Anterior amygdalar area,Field CA1,Medial habenula,Presubiculum,Subparaventricular zone,Anteroventral nucleus of thalamus,Piriform-amygdalar area,Ventral medial nucleus of the thalamus,Inferior colliculus,Claustrum,Primary motor area,Anterodorsal nucleus,Mediodorsal nucleus of thalamus,Fundus of striatum,Magnocellular nucleus,Medial preoptic area,Postsubiculum,Paraventricular nucleus of the thalamus,Anterior cingulate area dorsal part,Medial preoptic nucleus,Reticular nucleus of the thalamus,Prelimbic area,Dorsomedial nucleus of the hypothalamus,Cortical amygdalar area,Secondary motor area,Field CA3,Field CA2,Interpeduncular nucleus,Ventrolateral preoptic nucleus,Globus pallidus external segment,Periventricular zone,Orbital area medial part,Primary somatosensory area lower limb,Agranular insular area posterior part,Parasubiculum,Lateral posterior nucleus of the thalamus,Primary somatosensory area trunk,Substantia nigra compact part,Cortical amygdalar area posterior part,Ventromedial hypothalamic nucleus,Central lateral nucleus of the thalamus,Parataenial nucleus,Periventricular hypothalamic nucleus posterior part,Median preoptic nucleus,Dentate gyrus,Anterior cingulate area ventral part,Posterior amygdalar nucleus,Lateral amygdalar nucleus,Retrosplenial area ventral part,Posterior complex of the thalamus,Lateral dorsal nucleus of thalamus,Substantia nigra reticular part,Ventral anterior-lateral complex of the thalamus,Olivary pretectal nucleus,Paraventricular hypothalamic nucleus,Precommissural nucleus,Lateral habenula,Superior colliculus motor related,Medial pretectal area,Medial amygdalar nucleus,Superior colliculus sensory related
Olfactory tubercle,1,0.419574315,0.804113985,0.416139293,0.525864758,0.149138053,0.404584799,0.719404428,0.956748118,0.763349773,0.0488441556,0.97153836,0.568713113,0.749568177,-0.293116719,0.197093961,0.0594753617,0.923022973,0.397419846,0.462748072,-0.0655370107,0.331444922,0.843988064,-0.17395831,-0.367325826,0.735136429,0.817576353,0.40452746,0.822789989,0.911399584,0.673139662,0.00810778168,0.776657317,0.477520922,0.167801769,0.591777166,0.718782491,0.61025782,0.734177068,0.52281634,0.530503273,0.46074238,0.75050276,0.712679274,-0.16830404,-0.625003938,-0.139542345,-0.790864715,0.469630292,-0.757238217,-0.274434285,-0.058708006,0.391819002,0.679418701,0.79899927,0.4625183,0.35249244,0.193706353,0.605334654,0.672677489,0.581233475,0.482349414,0.358142261,0.78273786,-0.913402843,0.996882781,-0.0768392036,0.464042644,0.764666055,0.779658803,0.482625959,-0.256578124,0.574069185,0.521736173,0.854874266,0.665576515,0.203153408,0.493170849,-0.822260554,-0.0266761497,0.958583391,0.228810868,0.525346157,0.913196762,0.794382097,0.705303958,0.725277222,0.767215303,0.737911121,0.838496743,0.265972916,0.463370498,0.352608567,0.306075175,0.518429743,0.419572612,0.517549654,0.794181635,0.675349143,0.707552474,-0.36958543,0.555659265,0.461191248,0.552972135,-0.10932832,-0.415848397,0.727735729,0.66215568,-0.325120094,-0.415154399,-0.791807179,0.889375925,0.86815318,0.474634581,0.822799628,-0.983577595,0.712659159,-0.630767048,0.0136528347,0.388351467,-0.8454674,0.741095619,-0.212430028
Pons,0.419574315,1,0.828029633,0.892761125,-0.527480073,-0.389131994,0.0532576849,0.577943067,0.428632866,-0.245873512,0.634590118,0.488294263,0.549132756,-0.269198719,0.492931474,-0.41098785,0.475727543,0.662152157,-0.157895033,-0.276648882,0.865770112,-0.379894201,-0.0410346422,0.303906203,-0.744681553,0.0980375748,0.151812115,-0.658416865,-0.162987271,0.0463934477,-0.321935419,0.843092422,0.0788719544,-0.570881837,0.283408059,0.0158403621,0.0638257208,-0.010360063,0.195142069,0.0313260924,-0.0264920458,-0.00626065774,0.757426849,-0.32153027,-0.025384725,0.15508272,-0.588965721,-0.806099186,-0.591179758,0.155124374,0.600184487,0.835824819,0.912664493,0.0418014587,-0.13542708,0.473224359,0.947925629,0.145659546,-0.379549147,-0.0790447248,-0.307133422,-0.367911625,-0.546633416,-0.0410531958,-0.493959275,0.434859584,0.00795080561,-0.519593947,-0.245792694,-0.241252299,0.989677195,0.595380811,0.0179905402,-0.256438617,-0.1040248,0.221531645,-0.736096777,-0.263948302,-0.684812717,-0.502718923,0.165529512,-0.599264489,-0.535111987,0.481558746,-0.212875797,-0.154151109,-0.0325007971,-0.0544858249,-0.104177637,0.141523878,-0.596324621,-0.60978954,-0.346241171,-0.290982287,-0.363049109,0.196772497,0.369649044,0.0561279299,-0.157586541,0.380813541,0.0374224718,-0.501464982,-0.535415694,-0.50468566,-0.872675463,-0.215408716,-0.0879694702,0.701099257,-0.994204652,-0.161940022,-0.110000269,0.190085016,0.0976505433,-0.425483677,-0.126784876,-0.269625122,0.483981393,0.421870042,-0.901898942,0.221579919,-0.081561021,-0.0110052424,0.0894424521
Nucleus accumbens,0.804113985,0.828029633,1,0.651357615,0.0293984164,0.0623917301,0.480023481,0.897418431,0.85714182,0.235074582,0.223122075,0.883597117,0.827319134,0.216309524,-0.0356157357,0.0663614873,0.101964019,0.964627588,0.335375474,0.269653029,0.520101429,0.143215945,0.520898978,-0.136416927,-0.482555128,0.308196377,0.410943852,-0.183505247,0.334799195,0.488293032,0.261039545,0.600504607,0.618029815,-0.019890079,0.498706813,0.526579199,0.595770318,0.514165445,0.357962689,0.513056229,0.476738181,0.464429009,0.977415502,0.242466622,-0.352018076,-0.410188658,-0.230233412,-0.839508311,-0.0522868247,-0.229840965,0.0689197827,0.387712163,0.861749363,0.57050076,0.437577557,0.332374998,0.837682153,-0.0480342695,0.204207661,0.480132989,0.273376859,0.199324397,-0.258476834,0.52590335,-0.896511046,0.792495743,0.208628175,0.0484517647,0.237857227,0.286599725,0.826494135,0.355398874,0.522197869,0.303135708,0.435811812,0.316810711,-0.418316986,0.288987776,-0.757467078,-0.522075528,0.601516014,-0.0813483141,0.0162618682,0.890121915,0.292967821,0.173760311,0.526148939,0.513887414,0.470121594,0.671074748,-0.0674648575,-0.11095011,-0.199076767,0.202352403,0.211617985,0.574280879,0.299360561,0.603638563,0.417804513,0.445573158,-0.406435063,-0.0377710621,0.0301985367,0.0526205649,-0.481768624,-0.13399167,0.482540658,0.929658682,-0.781077837,-0.551638699,-0.365908386,0.707672199,0.63833617,-0.126098389,0.43731234,-0.683954885,0.849312107,-0.141348787,-0.5283829,0.119721317,-0.62635071,0.263144443,-0.301342206
Pons motor related,0.416139293,0.892761125,0.651357615,1,-0.527459647,-0.714617626,-0.338994741,0.260142536,0.292158304,-0.100425879,0.884905986,0.376183154,0.172044162,-0.126455897,0.716740759,-0.713867694,0.805755664,0.517312902,-0.496335168,-0.540004954,0.677248374,-0.650779716,-0.133632262,0.656322985,-0.965497161,0.408057658,0.413746964,-0.525120038,-0.0567395694,0.166993503,-0.390895354,0.565043646,-0.146712867,-0.57379732,-0.173661342,-0.298921731,-0.196757735,-0.308047096,0.506274711,-0.316937552,-0.355805898,-0.367609088,0.498054621,-0.314777908,0.410625172,0.386403182,-0.878678979,-0.885304899,-0.563022924,-0.0795815146,0.75625937,0.865835676,0.632109515,-0.235441946,-0.214229983,0.808494426,0.703000347,0.575285029,-0.471804035,-0.314539562,-0.481274916,-0.56993241,-0.220245245,-0.207310581,-0.302546565,0.463703862,-0.443377735,-0.611771452,-0.103920413,-0.167541421,0.941889012,0.246845379,-0.305463262,-0.499043325,-0.0908826668,0.559944384,-0.463628488,-0.518180709,-0.830476799,-0.0629023897,0.244000699,-0.780056965,-0.519096595,0.28971878,-0.10821445,0.128297039,-0.251659896,-0.228108473,-0.276641047,-0.0554098584,-0.760288443,-0.499662891,0.0571238991,-0.611247158,-0.544675403,-0.214040784,0.724327347,-0.146524472,-0.35199914,0.681604854,0.419449339,-0.323655935,-0.612571755,-0.496487623,-0.944509761,-0.615829925,-0.278254896,0.38155904,-0.866912535,0.245616973,-0.386607953,0.0266484148,-0.0504040985,-0.10093128,-0.171802738,-0.324038283,0.156924529,0.413670325,-0.787407804,0.624720111,0.0839908833,0.283292205,0.496244161
Subthalamic nucleus,0.525864758,-0.527480073,0.0293984164,-0.527459647,1,0.668209498,0.508900133,0.258912665,0.539257882,0.880106629,-0.686379208,0.483827393,0.174402974,0.891135204,-0.854980648,0.723387926,-0.560070485,0.285709613,0.681426377,0.821967815,-0.81077741,0.803285951,0.868482394,-0.621422731,0.482788905,0.443682011,0.490883494,0.951350049,0.873553506,0.746549736,0.970388524,-0.678298921,0.752123833,0.998415406,0.0961536159,0.682955798,0.729257801,0.717508869,0.348251654,0.619511364,0.673753655,0.60428191,0.0866657246,0.971270638,-0.336558105,-0.840216725,0.576294264,0.0817287348,0.996149627,-0.744686449,-0.909664388,-0.877943639,-0.387446052,0.721769377,0.911540056,-0.185081765,-0.474892086,-0.162322765,0.974005966,0.812914918,0.919880807,0.899794078,0.709382792,0.846061829,-0.461448782,0.493023001,0.132522093,0.978090259,0.88293035,0.92445926,-0.486705427,-0.651686795,0.668474324,0.847553327,0.889996025,0.246072858,0.773899103,0.833699162,-0.0337375941,0.255589519,0.694869418,0.877916873,0.999403396,0.473463546,0.896166302,0.67302444,0.809131491,0.848078767,0.868379173,0.735565032,0.901754834,0.969890937,0.474105893,0.716759838,0.919091299,0.392603003,-0.0426996745,0.779692914,0.872172786,0.148563428,-0.55933286,0.919135294,0.98370904,0.999317451,0.776886689,0.00945452914,0.851578817,0.0872209958,0.600350061,-0.420688939,-0.500504634,0.720177234,0.782708515,0.70134174,0.909470037,-0.628627121,0.347951381,-0.991522005,0.832207401,-0.0422903032,-0.785385491,0.562176769,-0.475089772
Dorsal auditory area,0.149138053,-0.389131994,0.0623917301,-0.714617626,0.668209498,1,0.897887225,0.489505539,0.37503148,0.280521295,-0.957238021,0.28830139,0.553757065,0.297624423,-0.956906874,0.997028948,-0.978173953,0.189765387,0.95933645,0.941415755,-0.35830451,0.975234438,0.610235758,-0.995555901,0.836921015,-0.319365318,-0.231151225,0.460283274,0.317777894,0.166492281,0.706721373,-0.134636186,0.736680798,0.68524613,0.726400422,0.868802366,0.787827465,0.865810688,-0.398947151,0.887613414,0.900990344,0.912861021,0.250563212,0.580851032,-0.891104885,-0.861060627,0.953056922,0.414336773,0.638353742,-0.0354837049,-0.903946197,-0.747936445,-0.00264554436,0.818344298,0.637406825,-0.794609862,-0.117227264,-0.842503723,0.764591835,0.831380068,0.851823772,0.906171209,-0.0185315792,0.721567062,-0.407361995,0.0739956672,0.817614178,0.808342844,0.287899139,0.421372189,-0.464317148,0.0703724419,0.875250813,0.913865043,0.463772778,-0.504489806,0.160842394,0.928410548,0.429933089,-0.452513629,0.17476068,0.928654332,0.643521332,0.417912328,0.346861579,-0.0809922233,0.788328259,0.738882764,0.762150056,0.661768188,0.911903451,0.493863505,-0.326828542,0.986807834,0.880583349,0.826588191,-0.723317519,0.719326749,0.816612495,-0.539126082,-0.933667024,0.322793276,0.790896466,0.647427545,0.777023984,0.736550943,0.778437354,0.367946943,0.391200996,-0.84590263,0.238215778,0.5835813,0.617470036,-0.0557339962,0.577456156,-0.149957804,0.578458777,-0.618727918,0.503430405,-0.759698134,-0.652804192,-0.200086183,-0.947453301
Primary somatosensory area mouth,0.404584799,0.0532576849,0.480023481,-0.338994741,0.508900133,0.897887225,1,0.81743313,0.645248977,0.236614486,-0.732385534,0.580486961,0.863491989,0.243629425,-0.815545199,0.888112052,-0.82373577,0.549474922,0.971860803,0.904733319,-0.00321519828,0.887031498,0.681043487,-0.93217992,0.536713734,-0.249652147,-0.127417372,0.223479031,0.316218352,0.253443054,0.649204243,0.228404855,0.863551982,0.50487284,0.904730267,0.96436423,0.907540785,0.950826271,-0.291360403,0.986819427,0.97605885,0.993195801,0.645057608,0.51845938,-0.965881423,-0.8830982,0.742373362,0.0356083993,0.445770994,-0.0164660908,-0.711122632,-0.428829774,0.422689802,0.927752028,0.665551449,-0.605279139,0.314327424,-0.816708469,0.680991051,0.888030401,0.803759006,0.828490727,-0.237650372,0.795202949,-0.705528496,0.331484273,0.865112447,0.657018786,0.244549787,0.388912841,-0.0270326727,0.320320542,0.971042244,0.88808712,0.498832658,-0.395862661,-0.140480837,0.898424811,0.103494278,-0.702130471,0.317500922,0.73487455,0.479352383,0.711244964,0.323344304,-0.10975759,0.866136006,0.80668312,0.807676455,0.815550135,0.720725439,0.284092071,-0.476604106,0.93679908,0.8057553,0.988458509,-0.571839506,0.836254606,0.83802585,-0.359947133,-0.995882618,0.156162602,0.631400192,0.498581542,0.433015126,0.659975435,0.831427294,0.739197159,-0.0426494176,-0.993340583,0.154882273,0.757204288,0.751167899,-0.216584733,0.607301515,-0.338525036,0.869974561,-0.509403686,0.137895547,-0.683499511,-0.780128619,-0.170814979,-0.977862432
Perirhinal area,0.719404428,0.577943067,0.897418431,0.260142536,0.258912665,0.489505539,0.81743313,1,0.878102405,0.254429228,-0.217929299,0.863076896,0.980291756,0.245609041,-0.425086459,0.4857237,-0.346901104,0.904340326,0.704827823,0.624071915,0.355346594,0.533209291,0.670421048,-0.556449495,-0.047088758,0.060542817,0.189447169,-0.025984096,0.360572476,0.430795088,0.482718004,0.524339552,0.830730682,0.224844835,0.789995359,0.825128974,0.839576753,0.809242315,0.0735371591,0.829462399,0.799019253,0.801530749,0.966814511,0.402959738,-0.720678604,-0.703743854,0.221075197,-0.528891808,0.173261277,-0.140277813,-0.301836869,0.0506316492,0.787758733,0.83379776,0.607256571,-0.0929868268,0.718099042,-0.450092435,0.462163639,0.752380585,0.571919258,0.537084838,-0.307656372,0.733288021,-0.93671378,0.67479546,0.580179736,0.348471359,0.260277584,0.365684106,0.534426897,0.41205068,0.826080571,0.636605035,0.520326649,-0.00487641435,-0.362726297,0.633091059,-0.437733098,-0.70861048,0.538725635,0.306804908,0.235099024,0.935238407,0.336551286,0.0402033062,0.771032339,0.731376132,0.702978606,0.840737397,0.307938873,0.0520870706,-0.387196149,0.599427419,0.532848885,0.875437485,-0.100485194,0.80660239,0.684609191,0.0996643453,-0.766305186,0.0346114071,0.323220697,0.26867452,-0.107186669,0.25432045,0.723736042,0.98450082,-0.54366833,-0.862592262,-0.145747159,0.834677349,0.785033424,-0.21056258,0.576983885,-0.604726868,0.993841902,-0.332102872,-0.291523822,-0.274992576,-0.792173411,0.0692845627,-0.690690498
Lateral preoptic area,0.956748118,0.428632866,0.85714182,0.292158304,0.539257882,0.37503148,0.645248977,0.878102405,1,0.662975915,-0.145619893,0.995721537,0.77082435,0.652442326,-0.455009266,0.408305763,-0.17878985,0.960854731,0.614049659,0.635221836,0.0146006539,0.517152197,0.885106569,-0.412378987,-0.178600729,0.512047461,0.620827126,0.341382478,0.742131564,0.808856133,0.717201436,0.145370596,0.89930746,0.496160883,0.444644283,0.77968393,0.866199582,0.787993814,0.505549642,0.733272577,0.731420377,0.683044749,0.861761666,0.706868454,-0.444408147,-0.766748827,0.0803077926,-0.680109534,0.469415192,-0.594859936,-0.398403941,-0.118335198,0.517813001,0.839656553,0.837023983,0.211102638,0.454689103,-0.0956916983,0.668974157,0.812154657,0.694720613,0.619294613,0.165894328,0.872917295,-0.989929542,0.932104496,0.216040681,0.538085213,0.666564215,0.724969527,0.452269003,-0.054955318,0.767914882,0.67835653,0.830598998,0.419703427,0.0589719342,0.658373991,-0.673877376,-0.284903519,0.87613897,0.369812659,0.528805883,0.990622923,0.717933523,0.513327847,0.850595056,0.863200936,0.836346155,0.938006171,0.395051012,0.41131521,0.100802086,0.519850742,0.641079682,0.664693696,0.257419438,0.902730385,0.792154633,0.476993557,-0.609029847,0.452238054,0.526394722,0.559283306,-0.0167368118,-0.136374767,0.8371184,0.81723858,-0.349732653,-0.660019046,-0.588302769,0.963587725,0.937565516,0.274669964,0.837996576,-0.91085993,0.882185759,-0.631037038,-0.0156131,0.107489349,-0.927535768,0.533450598,-0.474321331
Central medial nucleus of the thalamus,0.763349773,-0.245873512,0.235074582,-0.100425879,0.880106629,0.280521295,0.236614486,0.254429228,0.662975915,1,-0.261098694,0.649271747,0.094969208,0.99965594,-0.533683411,0.352493023,-0.11870668,0.475804155,0.384320088,0.555835261,-0.691592279,0.483377995,0.863078426,-0.241594577,0.0136067261,0.812875992,0.84561233,0.888467396,0.993717396,0.956830201,0.874987374,-0.634640295,0.667032353,0.856810398,-0.1792888,0.482915128,0.6037453,0.525147827,0.750258874,0.389233012,0.441224024,0.344233912,0.193789364,0.943970535,0.00600709042,-0.657747313,0.12349896,-0.331414012,0.87328961,-0.969196667,-0.60833296,-0.583409179,-0.283766351,0.570914526,0.882104569,0.301090451,-0.333540503,0.268180446,0.833034671,0.656830866,0.731150313,0.6574034,0.841593075,0.772197418,-0.555858973,0.762475991,-0.253780277,0.776628532,0.999966176,0.986973058,-0.15185613,-0.77616232,0.459992606,0.611626679,0.954243178,0.672788318,0.782356586,0.582561973,-0.46626817,0.458684784,0.913629741,0.551354386,0.890448989,0.563409011,0.99566045,0.932854986,0.687542463,0.761985993,0.76390794,0.701614896,0.594168435,0.909472077,0.736723098,0.381840825,0.699209848,0.153431174,0.431383083,0.708266784,0.725188153,0.600250154,-0.262245783,0.960963543,0.789429283,0.896605141,0.417726929,-0.442067758,0.736356428,0.115965231,0.347239835,-0.172346028,-0.851220688,0.735700041,0.778614423,0.883801058,0.913838624,-0.863904053,0.304025849,-0.924032103,0.633316873,0.410748296,-0.758901268,0.882802425,-0.123889715
