Brain Region ,Abbreviation,Allen Group Name
Agranular insular area,AI,Cortical Plate
"Agranular insular area, posterior part",AIp,Cortical Plate
"Agranular insular area, ventral part",AIv,Cortical Plate
Anterior amygdalar area,AAA,Striatum
"Anterior cingulate area, dorsal part",ACAd,Cortical Plate
"Anterior cingulate area, ventral part",ACAv,Cortical Plate
Anterior hypothalamic nucleus,AHN,Hypothalamus
Anterodorsal nucleus,AD,Thalamus
Anterolateral visual area,VISal,Cortical Plate
Anteroventral nucleus of the thalamus,AV,Thalamus
Anteroventral periventricular nucleus,AVPV,Hypothalamus
Anteroventral preoptic nucleus,AVP,Hypothalamus
Basolateral amygdalar nucleus,BLA,Cortical Subplate
Bed nuclei of the stria terminalis,BST,Pallidum
Caudoputamen,CP,Striatum
Central amygdalar nucleus,CEA,Striatum
Central lateral nucleus of the thalamus,CL,Thalamus
Central medial nucleus of the thalamus,CM,Thalamus
Claustrum,CLA,Cortical Subplate
Cortical amygdalar area,COA,Cortical Plate
"Cortical amygdalar area, posterior part",COAp,Cortical Plate
Culmen,CUL,Cerebellum
Dentate gyrus,DG,Cortical Plate
Diagonal band nucleus,NDB,Pallidum
Dorsal auditory area,AUDd,Cortical Plate
Dorsal peduncular area,DP,Cortical Plate
Dorsomedial nucleus of the hypothalamus,DMH,Hypothalamus
Ectorhinal area,ECT,Cortical Plate
Endopiriform nucleus,EP,Cortical Subplate
"Entorhinal area, lateral part",ENTl,Cortical Plate
"Entorhinal area, medial part",ENTm,Cortical Plate
Field CA1,CA1,Cortical Plate
Field CA2,CA2,Cortical Plate
Field CA3,CA3,Cortical Plate
"Frontal pole, cerebral cortex",FRP,Cortical Plate
Fundus of striatum,FS,Striatum
Globus pallidus external segment,GPe,Pallidum
Gustatory areas,GU,Cortical Plate
Inferior colliculus,IC,Midbrain
Infralimbic area,ILA,Cortical Plate
Intercalated amygdalar nucleus,IA,Striatum
Interpeduncular nucleus,IPN,Midbrain
Lateral amygdalar nucleus,LA,Cortical Subplate
Lateral dorsal nucleus of the thalamus,LD,Thalamus
"Lateral geniculate complex, dorsal part",LGd,Thalamus
Lateral habenula,LH,Thalamus
Lateral hypothalamic area,LHA,Hypothalamus
Lateral posterior nucleus of the thalamus,LP,Thalamus
Lateral preoptic area,LPO,Hypothalamus
Lateral septal complex,LSX,Striatum
Lateral visual area,VISl,Cortical Plate
Magnocellular nucleus,MA,Pallidum
Medial amygdalar nucleus,MEA,Striatum
Medial geniculate complex,MG,Thalamus
Medial habenula,MH,Thalamus
Medial preoptic area,MPO,Hypothalamus
Medial preoptic nucleus,MPN,Hypothalamus
Medial pretectal area,MPT,Midbrain
Medial septal nucleus,MS,Pallidum
Median preoptic nucleus,MEPO,Hypothalamus
Mediodorsal nucleus of the thalamus,MD,Thalamus
Midbrain reticular nucleus,MRN,Midbrain
Nucleus accumbens,ACB,Striatum
Olfactory tubercle,OT,Striatum
Olivary pretectal nucleus,OP,Midbrain
"Orbital area, lateral part",ORBl,Cortical Plate
"Orbital area, medial part",ORBm,Cortical Plate
