Region,centrality,partition,pc,wmdz
Agranular insular area,44.6496733014,1.0,0.5175584397501588,0.8618289688213939
Agranular insular area posterior part,41.821918400600005,2.0,0.5792891543485872,0.6755221900588465
Agranular insular area ventral part,52.37067390600001,1.0,0.5552029767009198,1.36974132050575
Anterior amygdalar area,56.06321910729999,3.0,0.6461512428890991,0.43376853885864
Anterior cingulate area dorsal part,49.48415079491999,3.0,0.5463249122381841,0.2352886689784572
Anterior cingulate area ventral part,44.33700731644999,1.0,0.4839555341262729,0.6206021308232335
Anterior hypothalamic nucleus,40.832822208600014,3.0,0.5259348840028268,0.7704778472500999
Anterodorsal nucleus,39.37616944506001,2.0,0.5464776537182288,0.5109102830396532
Anterolateral visual area,12.895431949730002,3.0,0.4406454870778898,-2.588150521099586
Anteroventral nucleus of thalamus,39.805376932499996,2.0,0.5200875289345919,0.8960432161087255
Anteroventral periventricular nucleus,46.7771094918,1.0,0.5545560526436244,0.5851900577564586
Anteroventral preoptic nucleus,47.7993259126,2.0,0.6225147645819674,-0.12427705133001
Basolateral amygdalar nucleus,12.090777740179998,3.0,0.5142331910097713,-3.097519873717117
Bed nuclei of the stria terminalis,53.22376573080001,1.0,0.6645645737921646,-1.821937745581818
Caudoputamen,43.69110842997001,2.0,0.557038496510242,1.135205257745445
Central amygdalar nucleus,35.90711104941,3.0,0.5346166568877555,0.5948809069561902
Central lateral nucleus of the thalamus,45.79294427517999,2.0,0.6073941289450797,0.8635679522955209
Central medial nucleus of the thalamus,45.0917395502,1.0,0.5871463439197068,-1.635223554943712
Claustrum,55.26452028369998,1.0,0.6352791747084323,0.1318143594331809
Cortical amygdalar area,46.27193745728001,3.0,0.6328712730734902,0.7909281108153204
Cortical amygdalar area posterior part,43.958921360100014,3.0,0.6141732849316152,0.8203700252163416
Culmen,40.506738183200014,3.0,0.5281043409202966,0.1020773949271308
Dentate gyrus,27.259443242500005,2.0,0.5049319737781214,-0.659008712635863
Diagonal band nucleus,53.43635116950999,1.0,0.6410041350276183,-0.3220661113496059
Dorsal auditory area,30.36099932298001,2.0,0.5144810952658032,-0.408504719622239
Dorsal part of the lateral geniculate complex,25.94987301039999,2.0,0.1943967729545442,0.5000109263507234
Dorsal peduncular area,13.578160027560003,2.0,0.1966548279674392,-1.390981572522521
Dorsomedial nucleus of the hypothalamus,48.71199719299998,1.0,0.5121607429345103,1.607240360433345
