Region,centrality,partition,pc,wmdz
Agranular insular area,41.223618201299985,1.0,0.7784092867419878,-0.02786922225148968
Agranular insular area posterior part,12.975490889300001,2.0,0.6572102958611039,-2.680449513686525
Agranular insular area ventral part,38.573895017699996,1.0,0.7859737143923888,-0.4406098654880883
Anterior amygdalar area,40.42865112069999,3.0,0.8271802777881585,1.017749826264998
Anterior cingulate area dorsal part,20.683170236030005,2.0,0.7212038507431584,0.5086186317642301
Anterior cingulate area ventral part,18.283826930140005,2.0,0.684266333148842,0.1373473055306953
Anterior hypothalamic nucleus,31.888243523099998,4.0,0.7641653086764595,-0.2601537228059053
Anterodorsal nucleus,40.9127650647,5.0,0.7955480434087104,-0.210370159049318
Anterolateral visual area,29.224283624500003,1.0,0.7058809245963964,-0.3170559463477495
Anteroventral nucleus of thalamus,41.7673301845,1.0,0.7908298195840318,-0.08229202974095526
Anteroventral periventricular nucleus,24.760469779210002,6.0,0.5243564518727436,0.4757400782785871
Anteroventral preoptic nucleus,25.96464682406499,1.0,0.6767733951008359,0.2109433636102269
Basolateral amygdalar nucleus,33.78378565751,4.0,0.7846474407980437,0.9627584088036376
Bed nuclei of the stria terminalis,26.2907319827,5.0,0.7388353421848068,-0.6112656582759486
Caudoputamen,14.025708012499997,2.0,0.6630964581049775,-0.7710146303977686
Central amygdalar nucleus,36.865494082709986,6.0,0.7208664652121775,0.6700209754118319
Central lateral nucleus of the thalamus,40.090483778060005,1.0,0.7660841592340513,0.249497612562905
Central medial nucleus of the thalamus,40.2017198654,7.0,0.8175799957766656,0.1831081089799932
Claustrum,34.64161913588,6.0,0.6698292529895731,1.156341815061149
Cortical amygdalar area,28.999619270499988,2.0,0.7347902069843792,0.8754832139622375
Cortical amygdalar area posterior part,27.598334451200007,8.0,0.7151508891137659,-1.059835636917351
Culmen,27.716502084970006,1.0,0.6253635252164911,0.7776729084173271
Dentate gyrus,37.43561009971001,1.0,0.7042892848272062,1.62525571326921
Diagonal band nucleus,30.742607721600013,4.0,0.7767873759695878,0.01361491149858654
Dorsal auditory area,19.1433022821,5.0,0.7672296243489554,-2.773590899748113
Dorsal part of the lateral geniculate complex,36.36471692389999,8.0,0.6713052645673121,0.2741776274898011
Dorsal peduncular area,21.082710107089998,8.0,0.6515055298242893,-1.736261231364022
Dorsomedial nucleus of the hypothalamus,38.135423511700004,4.0,0.798863506219741,-0.676789718851278
Ectorhinal area,32.9667100752,8.0,0.6720991111326414,0.8964153716923435
Endopiriform nucleus,32.727691873800005,2.0,0.6768111849274228,-0.2553775293279369
Entorhinal area lateral part,30.124602296600006,8.0,0.6081089766572143,1.118085802847639
Entorhinal area medial part,35.06515680255001,8.0,0.6869644795188073,0.8731093690008013
Field CA1,35.81413731036002,1.0,0.7805070365877911,-0.02258972618747868
Field CA2,38.382981223510015,4.0,0.8233017007595461,-0.9259997330088625
Field CA3,40.75604894840001,1.0,0.7740709861172463,0.6599466611791657
Frontal pole cerebral cortex,26.000987201800008,4.0,0.731818536395829,-1.856296335694417
Fundus of striatum,22.022450405200008,2.0,0.6910971215283834,0.9220896292463835
Globus pallidus external segment,34.8660116134,6.0,0.7399354788184391,0.2159684586164023
Gustatory areas,34.34530090939999,8.0,0.6855987703811162,0.7899739824123551
Inferior colliculus,29.047166800699998,1.0,0.6200969332700463,0.9612279883501097
Infralimbic area,28.944647703180003,4.0,0.7716961819519725,0.02587338325558343
Intercalated amygdalar nucleus,26.44662204972001,2.0,0.6554055255043097,0.3796499262806655
Interpeduncular nucleus,16.777834911130473,1.0,0.4966992459007211,-0.4386545765183077
Lateral amygdalar nucleus,31.374994089030007,4.0,0.7639263320339489,0.8140286737154246
