Region,node_strength,manual_partition,manual_pc,manual_wmdz,dd_partition,dd_pc,dd_wmdz
Agranular insular area,3.8702231979999997,1.0,0.3753636574139647,-0.0753965012194967,1.0,0.0,1.159213543330606
Agranular insular area posterior part,2.922007062,2.0,0.44236682197067045,-1.181986424915746,2.0,0.0,-2.445271171964917
Agranular insular area ventral part,0.993180706,2.0,0.0,-1.181986424915746,3.0,0.0,0.0
Anterior amygdalar area,1.956138679,2.0,0.49992694365863755,-1.181986424915746,4.0,0.0,0.8717349508230544
Anterior cingulate area dorsal part,2.908984774,1.0,0.6665875874000347,-1.0106504960233564,1.0,0.4491776689742409,-1.453914666607443
Anterior cingulate area ventral part,3.906081238,1.0,0.6241621051466681,-1.0106504960233564,1.0,0.0,1.207216120160262
Anterior hypothalamic nucleus,6.9255838050000005,2.0,0.6941266079774622,1.4988169838972873,5.0,0.0,0.9898331814487598
Anterodorsal nucleus,14.640785661999999,4.0,0.7370329913527414,0.8456688334013908,6.0,0.6291506555541704,0.4651297169994381
Anterolateral visual area,16.643212117,7.0,0.726988297492884,1.3186055920568447,7.0,0.4574740777835778,-0.3700939634221745
Anteroventral nucleus of thalamus,11.696978904999998,6.0,0.7509636009302655,0.0,8.0,0.4431628605671899,0.06406510181036566
Anteroventral periventricular nucleus,7.882211386,5.0,0.7809051062748493,0.2877507111838763,8.0,0.0,0.09195026094980951
Anteroventral preoptic nucleus,4.897943754,5.0,0.5589287245301613,-1.4414180616201204,6.0,0.3157054100148694,-0.8985547129598644
Basolateral amygdalar nucleus,0.9863246790000001,5.0,0.0,0.2735503766754803,9.0,0.0,0.0
Bed nuclei of the stria terminalis,2.927165344,2.0,0.6666170787586455,-0.29954394183599486,5.0,0.4478198619773479,-1.630873760714209
Caudoputamen,11.714820559,3.0,0.7230640206309784,-0.8164503501095192,7.0,0.485187905247197,-1.412940286045005
Central amygdalar nucleus,1.944235333,2.0,0.49999511079539016,-0.3046471666193296,10.0,0.0,-0.8001592858367688
Central lateral nucleus of the thalamus,10.73987744,2.0,0.7450392170754996,-1.181986424915746,8.0,0.3933419779358746,0.07747993584012088
Central medial nucleus of the thalamus,5.936936563,1.0,0.5006139400343084,-0.05801422927572475,5.0,0.0,0.4705198073235548
Cortical amygdalar area,0.987386254,2.0,0.0,-0.28807190752263534,11.0,0.0,-1.554920435238074
Cortical amygdalar area posterior part,3.888951545,2.0,0.6252140371472468,-0.31271971819160543,10.0,0.0,1.06682073158393
Dentate gyrus,16.691691474,4.0,0.7673996405768884,1.3687026313502924,7.0,0.3006006914892019,0.7142842340321244
Diagonal band nucleus,13.640373595,4.0,0.6830545369001082,-0.553687815458485,2.0,0.4999929773067229,0.1842620517619739
Dorsal auditory area,3.91840767,7.0,0.7499488475423248,-0.7946163482844087,6.0,0.369774640704611,-1.347582102484709
Dorsal part of the lateral geniculate complex,12.662195302,7.0,0.7930055375554806,0.03586624848940091,8.0,0.5426394587839413,0.06187326225716142
Dorsal peduncular area,12.757049395,2.0,0.7198078246603372,0.594508616385097,2.0,0.5540279611722743,0.2295603626955263
Dorsomedial nucleus of the hypothalamus,7.8866382680000005,5.0,0.6547458068943877,0.23545244626590123,5.0,0.2146619853984413,0.9880687417744491
Ectorhinal area,2.9323105409999997,4.0,0.6666649535181399,-0.5457222819436345,1.0,0.0,-0.09635492547440715
Endopiriform nucleus,0.9863246790000001,5.0,0.0,0.2735503766754803,9.0,0.0,0.0
Entorhinal area medial part,0.975157522,4.0,0.0,-1.018259512174334,10.0,0.0,-1.73050012286929
Field CA1,15.739736509,4.0,0.7578918899019117,0.8981343342117539,7.0,0.0,1.409159035119671
Field CA2,17.62379379,4.0,0.7893520141706037,1.3641519414552132,7.0,0.2864976891126428,1.048923690065171
Field CA3,16.700927239,4.0,0.7746693542357134,0.9016336669262479,7.0,0.1086541069175425,1.408578481161674
Frontal pole cerebral cortex,14.641912988999998,1.0,0.7540131474002403,-0.07456272772478045,6.0,0.6577681516346273,-0.4418342972221084
Fundus of striatum,2.956672412,3.0,0.6666535156995749,1.2415010050285578,11.0,0.0,0.08212425799600605
Globus pallidus external segment,6.84786529,3.0,0.7343338251345568,1.2078500452999996,8.0,0.244856650582481,-0.8150906026098221
Gustatory areas,0.972534001,7.0,0.0,-0.7957804708029649,12.0,0.0,0.0
Inferior colliculus,0.989677195,5.0,0.0,-1.4414180616201204,13.0,0.0,0.0
Infralimbic area,9.845088664000002,1.0,0.5392544541486084,-1.0106504960233564,2.0,0.3162139054034091,0.8954521100331978
Intercalated amygdalar nucleus,2.902568661,2.0,0.445770156442604,0.564619540104811,10.0,0.0,0.1198665577099487
Interpeduncular nucleus,12.741252542,2.0,0.6862476776737717,-0.2816639486269807,7.0,0.0,0.3402754094291387
Lateral amygdalar nucleus,2.906843265,5.0,0.6666466615676921,0.23833779672984368,10.0,0.0,0.1239702928467988
Lateral dorsal nucleus of thalamus,12.717674406,7.0,0.7925665227999334,0.053837276412977364,7.0,0.0,0.3318704008407751
Lateral hypothalamic area,5.9419430559999995,2.0,0.6120824207564329,1.496562145026767,5.0,0.0,0.4731496015129408
Lateral posterior nucleus of the thalamus,14.781375608,7.0,0.7285361967855344,0.9052786626969381,7.0,0.1215613108028921,0.7249962797604163
Lateral preoptic area,3.910786916,5.0,0.6254653804079247,0.28988912925083316,1.0,0.3713662539454329,-0.07642373108913468
Lateral septal complex,2.9615279350000003,5.0,0.6666635886168204,0.28213519162923306,11.0,0.0,0.08616059782794717
Lateral visual area,0.993180706,7.0,0.0,-1.2150269596585288,3.0,0.0,0.0
Magnocellular nucleus,0.9662467229999999,5.0,0.0,-1.4414180616201204,4.0,0.0,-0.8602779640985392
Medial amygdalar nucleus,3.9324089480000004,2.0,0.6236939912096614,-0.28807190752263534,11.0,0.0,0.8932426989419584
Medial geniculate complex,2.930240783,7.0,0.6666451302156509,-1.2150269596585288,1.0,0.0,-0.09912567695479432
Medial preoptic area,12.71625386,5.0,0.6850461544374163,-1.4414180616201204,6.0,0.5892082475760712,0.4681374894902637
Medial preoptic nucleus,2.9216251659999997,5.0,0.44994894019897047,0.2949414671230556,6.0,0.0,-1.364797361077824
