Region,centrality,partition,pc,wmdz
Agranular insular area,49.6291897533,1.0,0.9457917270514288,-0.5496034443235347
Agranular insular area posterior part,51.29833513249997,2.0,0.9523152816196114,0.0
Agranular insular area ventral part,21.945777898899998,1.0,0.7055011421250128,1.097624950318859
Anterior amygdalar area,39.22224545795,3.0,0.8977371034636812,0.1596528363791033
Anterior cingulate area dorsal part,58.59713866640002,4.0,0.9590229955628031,0.0
Anterior cingulate area ventral part,42.103826683200005,1.0,0.916789349191143,1.097643706525765
Anterior hypothalamic nucleus,61.17045882499998,5.0,0.9637907891092403,0.0
Anterodorsal nucleus,64.02391049140002,6.0,0.9751497719359777,0.0
Anterolateral visual area,63.614744101209986,7.0,0.9733218546129876,0.0
Anteroventral nucleus of thalamus,62.880124316899995,8.0,0.9738132073408979,0.0
Anteroventral periventricular nucleus,59.33900735551299,9.0,0.9695503005407112,0.0
Anteroventral preoptic nucleus,54.44541627119998,10.0,0.9708488117018954,-0.3000214661408637
Basolateral amygdalar nucleus,18.1744808177,11.0,0.3077241365555806,0.1163398858789704
Bed nuclei of the stria terminalis,58.04723552279001,12.0,0.9569883236170588,0.0
Caudoputamen,67.48165677057,13.0,0.9761735539982737,0.0
Central amygdalar nucleus,20.723304364700002,11.0,0.2089140334723413,1.206340859330994
Central lateral nucleus of the thalamus,62.504329352800006,14.0,0.9734378989829401,0.0
Central medial nucleus of the thalamus,58.83140563452001,15.0,0.9593448891357296,0.0
Claustrum,15.613679205399999,1.0,0.6668460197382138,-1.779658658968868
Cortical amygdalar area,46.594742738699985,11.0,0.9190455478531371,-1.077171230902183
Cortical amygdalar area posterior part,17.651025626999996,11.0,0.1111374353598529,0.6694190854796735
Culmen,11.197529260599998,10.0,0.6653896269355366,-1.729333296503057
Dentate gyrus,67.16410616450001,16.0,0.9765891474563945,0.0
Diagonal band nucleus,58.30201043649997,17.0,0.9698066890978949,0.0
Dorsal auditory area,52.2253458442,10.0,0.9686869725664231,-0.09776635113997155
Dorsal part of the lateral geniculate complex,66.01090886985,18.0,0.9757847093374398,0.0
Dorsal peduncular area,61.40665182227003,19.0,0.9714341097485498,0.0
Dorsomedial nucleus of the hypothalamus,61.45329764070001,20.0,0.9645265301945769,0.0
Ectorhinal area,45.448682294799994,1.0,0.9326061000382877,0.4679232048170198
Endopiriform nucleus,17.9434921438,11.0,0.3925829694116761,-0.3227030719787518
Entorhinal area lateral part,17.791467278000002,11.0,0.5071762454439332,-1.195199117615968
Entorhinal area medial part,20.123531353799997,11.0,0.2904280222475583,0.6678299412320139
Field CA1,67.4077237046,21.0,0.9765280547852033,0.0
Field CA2,67.49278713950001,22.0,0.9767953742271746,0.0
Field CA3,67.38511868690003,23.0,0.9765699039028917,0.0
Frontal pole cerebral cortex,65.96671993899999,24.0,0.9763429854980201,0.0
Fundus of striatum,34.148696236570004,11.0,0.7712901903423538,0.3808469454008123
Globus pallidus external segment,55.789022915000025,3.0,0.9670336017118728,0.4671043948812571
Gustatory areas,17.0449723658,1.0,0.6099510331453017,-0.1717666252238337
Inferior colliculus,21.959489689500003,1.0,0.6485654692363741,-0.6060236355414204
Infralimbic area,58.75501113425999,25.0,0.9683267723451106,0.0
Intercalated amygdalar nucleus,19.276306013799996,11.0,0.1371707176923482,1.061523635549301
Interpeduncular nucleus,65.3508782194,26.0,0.9737569868640409,0.0
Lateral amygdalar nucleus,17.0360694238,11.0,0.1511850691601547,0.363000674462234
Lateral dorsal nucleus of thalamus,66.2907655543,27.0,0.9748123607347804,0.0
Lateral habenula,40.2666998752,3.0,0.9532978528237099,-0.007047162899751848
Lateral hypothalamic area,59.013348047100045,28.0,0.960001161861628,0.0
Lateral posterior nucleus of the thalamus,66.2148040385,29.0,0.9752084475823051,0.0
Lateral preoptic area,59.03731753570002,30.0,0.9627555114702095,0.0
Lateral septal complex,43.99771329730002,11.0,0.8994136008632188,-0.619888593570457
Lateral visual area,24.52252704609999,1.0,0.7576635413620378,1.381671378154288
Magnocellular nucleus,38.90219903769999,3.0,0.925689764533086,0.8911559354352863
Medial amygdalar nucleus,43.818355521299985,11.0,0.8971082343186104,-0.6389426358208391
Medial geniculate complex,42.173446717143,1.0,0.9172447591768099,1.013815594200612
Medial habenula,10.982480102000002,11.0,0.4934206351228766,-2.353126973688155
Medial preoptic area,63.27446729650002,31.0,0.9746061622945469,0.0
Medial preoptic nucleus,56.63113922239999,32.0,0.9689268368064112,0.0
Medial pretectal area,13.118184614829998,11.0,0.3956718419440931,-1.480875754506417
Medial septal nucleus,56.695628820699994,33.0,0.9580597883809373,0.0
Median preoptic nucleus,24.06305957894,10.0,0.8668124381253833,1.228176846015939
Mediodorsal nucleus of thalamus,65.22662304973997,34.0,0.9718717838201089,0.0
Midbrain reticular nucleus,37.87519374670002,11.0,0.8348710100926278,0.001660543392087334
Nucleus accumbens,39.329929179000004,1.0,0.9037609437931138,0.6675946290006266
Olfactory tubercle,55.85680900467998,35.0,0.9554674840595738,0.0
Olivary pretectal nucleus,10.273042957,10.0,0.5837878416210203,-1.707432059461201
Orbital area lateral part,67.2289894125,36.0,0.9759912749744593,0.0
Orbital area medial part,57.116451919620026,37.0,0.9693699711673817,0.0
Orbital area ventrolateral part,66.68882493260001,38.0,0.9757631778843913,0.0
Parasubiculum,27.371852994499996,11.0,0.5731371232636433,0.9861662902553063
Parasubthalamic nucleus,15.52868305945,11.0,0.2852391949409655,-0.4742511129980785
Parataenial nucleus,62.23518197129998,39.0,0.9719353458850769,0.0
Paraventricular hypothalamic nucleus,52.578996919290006,1.0,0.952856647412864,-0.1941426347327186
Paraventricular nucleus of the thalamus,23.701068724469998,11.0,0.6395983582319611,-0.4138476873333045
Pedunculopontine nucleus,25.62718093395,11.0,0.4991163291683005,1.075865015306561
Periaqueductal gray,23.457069810400007,11.0,0.349230336812646,1.358322734224302
Perirhinal area,49.24842111619999,1.0,0.9431697993495917,0.3707346701622979
Periventricular hypothalamic nucleus posterior part,41.87345296539,10.0,0.9554022768602857,-0.6747898488271076
Periventricular zone,32.543808423250006,11.0,0.7997662532170239,-0.4493784231619773
Piriform area,16.110507564200002,1.0,0.5871693043938593,-1.278299643720539
