Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz_pos,wmdz_neg
Agranular insular area,14.926474856,-4.188588366,1.0,0.5672226945444684,0.3127253618043008,0.8827845274493324,0.0
Agranular insular area posterior part,27.672339819,-7.175601422,2.0,0.1715142977459029,0.195091453467537,-0.310897580275326,0.0
Agranular insular area ventral part,7.946040634999999,-3.4283458149999997,3.0,0.4313801657636436,0.0,-0.4387246570863758,0.4613299182286965
Anterior amygdalar area,15.313660985,-4.4188775819999995,4.0,0.0,0.0,-0.5046205083729229,0.0
Anterior cingulate area dorsal part,28.450223575000003,-5.207397783,4.0,0.5377657021931537,0.0,-0.1551730836252583,0.0
Anterior cingulate area ventral part,11.559239055,-2.454797026,1.0,0.5318754709592137,0.4284468796666847,-0.1650484853560325,0.0
Anterior hypothalamic nucleus,36.554054022,-4.449055842,4.0,0.3993588313167699,0.0,1.170009928487202,0.0
Anterodorsal nucleus,44.976230637,-10.548672830000001,2.0,0.3733843077950511,0.0,0.6362642507570442,0.0
Anterolateral visual area,44.416331879999994,-8.726780133999998,2.0,0.3953824453689737,0.0,0.6182348161437582,0.0
Anteroventral nucleus of thalamus,47.25796553199999,-7.070688658999999,4.0,0.4898801427043981,0.0,0.2108551704733856,0.0
Anteroventral periventricular nucleus,36.75365465899999,-5.268763946,4.0,0.4725927840903433,0.0,0.5592148547023919,0.0
Anteroventral preoptic nucleus,33.88868403899999,-11.592699842999998,2.0,0.1730524665943267,0.0,0.2945179499434252,0.0
Basolateral amygdalar nucleus,8.071252904,-40.619998186,3.0,0.0,0.375017571453638,0.6378269074957481,0.4613299182286965
Bed nuclei of the stria terminalis,29.268004476,-4.463558987,4.0,0.399791357173686,0.0,0.4665842749803811,0.0
Caudoputamen,51.632375112000005,-6.812442083999999,4.0,0.5514030372342449,0.0,0.3981842359646508,0.0
Central amygdalar nucleus,11.408853142,-19.660572751999997,3.0,0.0,0.07839280601023624,2.005900684568231,0.4613299182286965
Central lateral nucleus of the thalamus,47.01687045200001,-7.772336482999999,4.0,0.4914200828903342,0.0,0.23418981245944,0.0
Central medial nucleus of the thalamus,33.168598800999995,-5.143417099,4.0,0.2475041512799239,0.0,1.399262915408847,0.0
Claustrum,4.182240435000001,-12.085383364,3.0,0.0,0.0,-0.9562693287674067,0.4613299182286965
Cortical amygdalar area,20.288890563000002,-3.62971006,4.0,0.0,0.0,0.2139629111850565,0.0
Cortical amygdalar area posterior part,9.677760735,-34.596475852000005,3.0,0.0,0.08720276334324373,1.296330346951906,0.4613299182286965
Culmen,3.437925707,-26.201014223999998,3.0,0.0,0.05613165893722993,-1.261362026710113,0.4613299182286965
Dentate gyrus,49.81011813500001,-7.781217914,2.0,0.4700519660172455,0.0,0.5878886727372044,0.0
Diagonal band nucleus,39.22043195699999,-10.830214875000001,2.0,0.1788094118972319,0.0,0.801048238857239,0.0
Dorsal auditory area,29.548566430000005,-11.667821132,2.0,0.1479034058804378,0.0,-0.08135979339211666,0.0
Dorsal part of the lateral geniculate complex,49.395754108999995,-5.460114712,2.0,0.4837042941870556,0.0,0.1333445397473371,0.0
Dorsal peduncular area,42.45364067399999,-9.665064647000001,2.0,0.3259799971166105,0.0,0.6965857012590185,0.0
Dorsomedial nucleus of the hypothalamus,37.476070049,-4.411772749,4.0,0.4118858768975926,0.0,1.194117153691939,0.0
Ectorhinal area,18.679343662,-4.9915363159999995,1.0,0.4957077602034096,0.2769856622157839,-1.299762841982219,0.0
Endopiriform nucleus,7.835351179000001,-39.85267520200001,3.0,0.0,0.4403374369008654,0.5411313954735972,0.4613299182286965
Entorhinal area lateral part,7.659851295999999,-20.539068603,3.0,0.0,0.4809155422188293,0.4691944435648616,0.4613299182286965
Entorhinal area medial part,9.511090170000001,-16.659089651000002,3.0,0.0,0.2568266441506816,1.22801250984539,0.4613299182286965
Field CA1,52.561187721,-7.667318047,2.0,0.5260616468910528,0.0,0.3542339376977495,0.0
Field CA2,53.592737637,-8.471195389,2.0,0.5033117067470323,0.0,0.5570560898689426,0.0
Field CA3,53.391021583000004,-7.693978798999999,2.0,0.5205252304698619,0.0,0.4581140733863895,0.0
Frontal pole cerebral cortex,47.56550827899999,-8.693126683000001,2.0,0.4454746348604793,0.0,0.4016713786134055,0.0
Fundus of striatum,11.751371835999999,-4.375006765,4.0,0.428533200919646,0.4794466665395338,-1.546927179670782,0.0
