Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz_pos,wmdz_neg
Agranular insular area,10.178961404,10.178961404,1.0,0.2949830908971549,0.0,-1.342028172750444,0.0
Agranular insular area posterior part,14.771382586000001,14.771382586000001,1.0,0.0,0.0,-0.750319748443151,0.0
Agranular insular area ventral part,4.670802146,4.670802146,2.0,0.0,0.0,0.24035423687078494,0.4107600384607277
Anterior amygdalar area,7.3165531999999995,7.3165531999999995,3.0,0.0,0.0,-0.8100507832343584,0.0
Anterior cingulate area dorsal part,18.130127202999997,18.130127202999997,3.0,0.4106464953401471,0.0,0.1837967742129303,0.0
Anterior cingulate area ventral part,7.496546713,7.496546713,1.0,0.20793365167429756,0.0,-1.5019057036005203,0.0
Anterior hypothalamic nucleus,20.424990071999996,20.424990071999996,3.0,0.2885997343565969,0.0,0.8882723299795872,0.0
Anterodorsal nucleus,36.757936335000004,36.757936335000004,1.0,0.04549330345793334,0.0,1.1963202594118645,0.0
Anterolateral visual area,34.79927992000001,34.79927992000001,1.0,0.047934245238482664,0.0,1.0159726286144948,0.0
Anteroventral nucleus of thalamus,29.611718326000002,29.611718326000002,1.0,0.43137594691567727,0.0,-0.24182798162848831,0.0
Anteroventral periventricular nucleus,24.837558938000004,24.837558938000004,3.0,0.46465734046996343,0.0,0.6865960182786969,0.0
Anteroventral preoptic nucleus,20.301754748000004,20.301754748000004,1.0,0.0,0.0,-0.24083605350315387,0.0
Basolateral amygdalar nucleus,6.415826336,6.415826336,2.0,0.0,0.11072776187393063,1.043331124300426,0.4107600384607277
Bed nuclei of the stria terminalis,16.642699727,16.642699727,3.0,0.18718208815457738,0.0,0.5410581096833734,0.0
Caudoputamen,38.883938697999994,38.883938697999994,1.0,0.46918230528010807,0.0,0.1246197736690299,0.0
Central amygdalar nucleus,8.992652089,8.992652089,2.0,0.0,0.0,2.2290634106777745,0.4107600384607277
Central lateral nucleus of the thalamus,28.657499143,28.657499143,1.0,0.4406838423481402,0.0,-0.3364382353671994,0.0
Central medial nucleus of the thalamus,22.134277919999995,22.134277919999995,3.0,0.20872645807072665,0.0,1.3621878123826596,0.0
Claustrum,1.8084635420000001,1.8084635420000001,2.0,0.0,0.0,-1.0767574434031848,0.4107600384607277
Cortical amygdalar area,15.585182433999996,15.585182433999996,3.0,0.0,0.0,0.6624932233819715,0.0
Cortical amygdalar area posterior part,6.516469521,6.516469521,2.0,0.0,0.0,1.0896423169448703,0.4107600384607277
Culmen,1.809138875,1.809138875,2.0,0.0,0.0,-1.0764466873727379,0.4107600384607277
Dentate gyrus,36.83009408300001,36.83009408300001,1.0,0.21223737033531598,0.0,0.8723587756419499,0.0
Diagonal band nucleus,28.926631584,28.926631584,1.0,0.0,0.0,0.5537278546911445,0.0
Dorsal auditory area,18.343507922,18.343507922,1.0,0.0,0.0,-0.4212388906522176,0.0
Dorsal part of the lateral geniculate complex,37.99724510699999,37.99724510699999,1.0,0.4328494398934466,0.0,0.28052648391574625,0.0
Dorsal peduncular area,32.031043059,32.031043059,1.0,0.0,0.0,0.8397207286906292,0.0
Dorsomedial nucleus of the hypothalamus,21.456355832000003,21.456355832000003,3.0,0.27959212105971587,0.0,1.0660153280106466,0.0
Ectorhinal area,7.390569197,7.390569197,1.0,0.0,0.0,-1.4302747256015798,0.0
Endopiriform nucleus,6.312024932,6.312024932,2.0,0.0,0.31491509485923297,0.9955666699321762,0.4107600384607277
Entorhinal area lateral part,4.426103503,4.426103503,2.0,0.0,0.4654524136200128,0.12775559449070625,0.4107600384607277
Entorhinal area medial part,5.52133217,5.52133217,2.0,0.0,0.0,0.6317275801463174,0.4107600384607277
Field CA1,36.51429028999999,36.51429028999999,1.0,0.21649218590866537,0.0,0.8373082354332652,0.0
Field CA2,39.336346064000004,39.336346064000004,1.0,0.29546534868138696,0.0,0.8596752542276587,0.0
Field CA3,36.615236636999995,36.615236636999995,1.0,0.21509514139470365,0.0,0.848584660249747,0.0
Frontal pole cerebral cortex,42.834051285,42.834051285,1.0,0.2807500359458319,0.0,1.168439307333278,0.0
Fundus of striatum,9.384469747,9.384469747,3.0,0.4755342746698831,0.4999880533802419,-1.0925651411260457,0.0
Globus pallidus external segment,19.479741255,19.479741255,3.0,0.30194708191208797,0.0,0.7131886001435618,0.0
Gustatory areas,3.76499765,3.76499765,2.0,0.0,0.0,-0.1764537816002107,0.4107600384607277
Inferior colliculus,3.681324603,3.681324603,2.0,0.0,0.6201450540283578,-0.21495612628221422,-1.7200511498496036
Infralimbic area,28.940569519,28.940569519,1.0,0.0,0.0,0.5550118823145344,0.0
Intercalated amygdalar nucleus,9.183838647999998,9.183838647999998,2.0,0.0,0.0,2.3170383447468565,0.4107600384607277
Interpeduncular nucleus,32.53078077000001,32.53078077000001,1.0,0.1048739033684537,0.0,0.719373661489239,0.0
Lateral amygdalar nucleus,3.7969277459999997,3.7969277459999997,2.0,0.0,0.0,-0.1617610746175016,0.4107600384607277
Lateral dorsal nucleus of thalamus,31.566721956000002,31.566721956000002,1.0,0.28195852442185987,0.0,0.3031046073984093,0.0
Lateral habenula,6.299248,6.299248,3.0,0.24742179063852976,0.0,-1.1534676111545585,0.0
Lateral hypothalamic area,22.201290544000003,22.201290544000003,3.0,0.20885997119520439,0.0,1.372363388518001,0.0
Lateral posterior nucleus of the thalamus,34.694308072,34.694308072,1.0,0.1423313508766677,0.0,0.8386078769901248,0.0
Lateral preoptic area,18.17059912,18.17059912,1.0,0.258026401172633,0.0,-0.6918919859917575,0.0
Lateral septal complex,8.476489155000001,8.476489155000001,3.0,0.0,0.0,-0.6034800578751134,0.0
Lateral visual area,7.1571751290000005,7.1571751290000005,2.0,0.46438620805669484,0.0,0.17724740075796622,0.4107600384607277
Magnocellular nucleus,5.547150035,5.547150035,3.0,0.0,0.0,-1.125160331887839,0.0
Medial amygdalar nucleus,12.836796047,12.836796047,3.0,0.0,0.0,0.1730384676406819,0.0
Medial geniculate complex,9.26145119,9.26145119,1.0,0.17167141029960475,0.0,-1.338828420779512,0.0
Medial habenula,0.906867322,0.906867322,2.0,0.0,0.18444336238280523,-1.4916290140109996,0.4107600384607277
Medial preoptic area,35.77516717,35.77516717,1.0,0.0,0.0,1.1846469163879796,0.0
Medial preoptic nucleus,21.956455107000004,21.956455107000004,1.0,0.31861919362216495,0.0,-0.4906205041348743,0.0
Medial pretectal area,1.851959414,1.851959414,2.0,0.0,0.15368082233823088,-1.0567427180402098,0.4107600384607277
Medial septal nucleus,14.546178866999998,14.546178866999998,1.0,0.31153313788762027,0.0,-1.0297324911397798,0.0
Median preoptic nucleus,0.934693641,0.934693641,1.0,0.0,0.4994374858437126,-2.0250201127102474,0.0
Mediodorsal nucleus of thalamus,30.303518690999997,30.303518690999997,3.0,0.4991044036460236,0.0,0.6995065106703022,0.0
Midbrain reticular nucleus,8.498866346,8.498866346,3.0,0.4305845197142123,0.439782013522768,-1.0742942759010812,0.0
Nucleus accumbens,7.261730418,7.261730418,1.0,0.20917482319302638,0.0,-1.521532328519824,0.0
Olfactory tubercle,9.243775340000001,9.243775340000001,3.0,0.4810347429225267,0.0,-1.4502440305507007,0.0
Olivary pretectal nucleus,1.728160395,1.728160395,2.0,0.0,0.3967232236034741,-1.1137091208632348,0.4107600384607277
Orbital area lateral part,38.539302598000006,38.539302598000006,1.0,0.4404489516953435,0.0,0.2767276028566384,0.0
Orbital area medial part,26.034756318,26.034756318,1.0,0.0,0.0,0.2873148082146408,0.0
Orbital area ventrolateral part,40.65721461599999,40.65721461599999,1.0,0.47412473724788096,0.0,0.18766847377514267,0.0
Parasubiculum,6.6272284809999995,6.6272284809999995,2.0,0.4923943417224057,0.0,-0.5722147851529397,0.4107600384607277
Parasubthalamic nucleus,5.3602496969999995,5.3602496969999995,2.0,0.0,0.08454799782059308,0.5576051103661079,0.4107600384607277
Parataenial nucleus,29.555856367999997,29.555856367999997,3.0,0.4997799890954644,0.0,0.5739367831306182,0.0
Paraventricular hypothalamic nucleus,19.710119935999998,19.710119935999998,1.0,0.0,0.0,-0.2953402136651133,0.0
Paraventricular nucleus of the thalamus,1.7775650809999999,1.7775650809999999,3.0,0.0,0.44459208235211656,-1.7964783429336093,0.0
Pedunculopontine nucleus,6.4792947,6.4792947,2.0,0.48619190690703773,0.30718646876451017,-0.17046345689162384,-1.6664889974251291
Periaqueductal gray,7.296692266,7.296692266,2.0,0.2062700081706752,0.0,1.0565968171064404,0.4107600384607277
Perirhinal area,9.279062939,9.279062939,1.0,0.0,0.0,-1.2562978681024874,0.0
Periventricular hypothalamic nucleus posterior part,5.374602392,5.374602392,1.0,0.4446401590472454,0.0,-1.7811849676959588,0.0
Periventricular zone,5.49609781,5.49609781,3.0,0.0,0.0,-1.1342521227785294,0.0
Piriform area,5.347024907,5.347024907,2.0,0.0,0.0,0.5515196928848118,0.4107600384607277
Piriform-amygdalar area,22.161217972,22.161217972,3.0,0.20929889542958036,0.0,1.3649368552949255,0.0
Pons,4.608798554,4.608798554,2.0,0.0,0.43168625374240566,0.21182314165793445,0.4107600384607277
Pons motor related,3.585391799,3.585391799,2.0,0.0,0.5483918484674148,-0.2590998262949447,-1.7479603334843645
Posterior amygdalar nucleus,1.82236406,1.82236406,3.0,0.49948940899424055,0.0,-1.9455852956751163,0.0
Posterior complex of the thalamus,28.684333231,28.684333231,1.0,0.26129361754842884,0.0,0.12306935688395759,0.0
Posterior hypothalamic nucleus,19.179021302999995,19.179021302999995,3.0,0.29784836878067134,0.0,0.6806232603216117,0.0
Postsubiculum,0.982486216,0.982486216,2.0,0.0,0.43815624274288223,-1.4568328063234763,-1.6664889974251291
Precommissural nucleus,1.716185682,1.716185682,2.0,0.0,0.4964834064565351,-1.119219312542929,0.4107600384607277
Prelimbic area,17.351184617999998,17.351184617999998,1.0,0.18553262206237586,0.0,-0.6780549943741947,0.0
Presubiculum,8.250869126,8.250869126,3.0,0.4952752858502595,0.0,-1.44976878533082,0.0
Primary auditory area,1.8600713189999998,1.8600713189999998,1.0,0.0,0.0,-1.9397700020862392,0.0
Primary motor area,31.080390676999997,31.080390676999997,1.0,0.0,0.0,0.752142194371935,0.0
Primary somatosensory area lower limb,40.853206562,40.853206562,1.0,0.2618570837530819,0.0,1.0693568362908517,0.0
Primary somatosensory area mouth,22.060021706,22.060021706,1.0,0.0,0.0,-0.07885629514114358,0.0
