Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz_pos,wmdz_neg
Agranular insular area,3.8702231979999997,3.8702231979999997,3.0,0.3753636574139647,0.0,-0.9443174984068535,0.24801771562307157
Agranular insular area posterior part,2.922007062,2.922007062,3.0,0.0,0.6214203641534615,-0.9404392298939648,-1.6973734315581475
Agranular insular area ventral part,0.993180706,0.993180706,2.0,0.0,0.0,-0.38103742946132985,0.4993050766163683
Anterior amygdalar area,1.956138679,1.956138679,2.0,0.0,0.0,0.3065785679806774,0.4993050766163683
Anterior cingulate area dorsal part,2.908984774,2.908984774,3.0,0.0,0.0,-0.942873374278111,0.24801771562307157
Anterior cingulate area ventral part,3.906081238,3.906081238,3.0,0.0,0.0,-0.7564947011680044,0.24801771562307157
Anterior hypothalamic nucleus,7.8793456609999994,7.8793456609999994,3.0,0.0,0.0,-0.013806528246820549,0.24801771562307157
Anterodorsal nucleus,17.507396142999998,17.507396142999998,3.0,0.19888085475871464,0.0,1.4194270808551122,0.24801771562307157
Anterolateral visual area,18.549152549,18.549152549,3.0,0.19612186263823772,0.0,1.6110693471139628,0.24801771562307157
Anteroventral nucleus of thalamus,12.650261439,12.650261439,3.0,0.1426794989147857,0.4999767337931047,0.6951537510159601,0.24801771562307157
Anteroventral periventricular nucleus,9.786951701000001,9.786951701000001,3.0,0.1828471452482715,0.0,0.15656418610829262,0.24801771562307157
Anteroventral preoptic nucleus,5.849693090999999,5.849693090999999,3.0,0.2742916472178061,0.0,-0.5725830881801373,0.24801771562307157
Basolateral amygdalar nucleus,0.9863246790000001,0.9863246790000001,1.0,0.0,0.164932990395664,0.5634749080662542,-0.4904763999034855
Bed nuclei of the stria terminalis,5.791199248,5.791199248,3.0,0.0,0.0,-0.4041257919951757,0.24801771562307157
Caudoputamen,12.667669862,12.667669862,3.0,0.1450052039648667,0.0,0.6948937078249495,0.24801771562307157
Central amygdalar nucleus,1.944235333,1.944235333,1.0,0.0,0.0,1.9059053862440163,0.750350440572766
Central lateral nucleus of the thalamus,11.697242988000001,11.697242988000001,3.0,0.15405024201034145,0.49999823236770913,0.5159639316304355,0.24801771562307157
